Episodio,Recompensa_tui,Tripwires_tui,PGF_Bruto_Avg,PGF_Costo_Avg
1,-66.65403276671454,0,-0.761350819167864,0.78
2,-9.690806553342906,0,-0.15227016383357278,0.065
3,0.0,0,0.0,0.0
4,-12.890806553342895,0,-0.15227016383357278,0.145
5,0.0,0,0.0,0.0
6,-38.763226213371624,0,-0.6090806553342911,0.26
7,0.0,0,0.0,0.0
8,0.0,0,0.0,0.0
9,-7.690806553342912,0,-0.15227016383357278,0.015
10,-26.47241966002874,0,-0.45681049150071834,0.13
11,-16.69080655334288,0,-0.15227016383357278,0.24
12,-14.09080655334289,0,-0.15227016383357278,0.175
13,-7.890806553342912,0,-0.15227016383357278,0.02
14,-17.38161310668582,0,-0.30454032766714556,0.08
15,0.0,0,0.0,0.0
16,-16.490806553342882,0,-0.15227016383357278,0.235
17,0.0,0,0.0,0.0
18,0.0,0,0.0,0.0
19,0.0,0,0.0,0.0
20,0.0,0,0.0,0.0
21,0.0,0,0.0,0.0
22,0.0,0,0.0,0.0
23,0.0,0,0.0,0.0
24,0.0,0,0.0,0.0
25,-27.781613106685782,0,-0.30454032766714556,0.34
26,0.0,0,0.0,0.0
27,0.0,0,0.0,0.0
28,0.0,0,0.0,0.0
29,0.0,0,0.0,0.0
30,0.0,0,0.0,0.0
31,0.0,0,0.0,0.0
32,0.0,0,0.0,0.0
33,0.0,0,0.0,0.0
34,0.0,0,0.0,0.0
35,-20.381613106685812,0,-0.30454032766714556,0.155
36,0.0,0,0.0,0.0
37,0.0,0,0.0,0.0
38,-13.490806553342892,0,-0.15227016383357278,0.16
39,-9.690806553342906,0,-0.15227016383357278,0.065
40,0.0,0,0.0,0.0
41,0.0,0,0.0,0.0
42,-36.87241966002875,0,-0.45681049150071834,0.39
43,0.0,0,0.0,0.0
44,0.0,0,0.0,0.0
45,0.0,0,0.0,0.0
46,0.0,0,0.0,0.0
47,0.0,0,0.0,0.0
48,0.0,0,0.0,0.0
49,0.0,0,0.0,0.0
50,0.0,0,0.0,0.0
51,0.0,0,0.0,0.0
52,0.0,0,0.0,0.0
53,0.0,0,0.0,0.0
54,-13.690806553342892,0,-0.15227016383357278,0.165
55,0.0,0,0.0,0.0
56,-7.290806553342912,0,-0.15227016383357278,0.005
57,0.0,0,0.0,0.0
58,0.0,0,0.0,0.0
59,0.0,0,0.0,0.0
60,-9.290806553342907,0,-0.15227016383357278,0.055
61,0.0,0,0.0,0.0
62,0.0,0,0.0,0.0
63,0.0,0,0.0,0.0
64,0.0,0,0.0,0.0
65,0.0,0,0.0,0.0
66,-53.363226213371576,0,-0.6090806553342911,0.625
67,0.0,0,0.0,0.0
68,0.0,0,0.0,0.0
69,-30.781613106685775,0,-0.30454032766714556,0.415
70,-9.290806553342907,0,-0.15227016383357278,0.055
71,-22.3816131066858,0,-0.30454032766714556,0.205
72,-7.290806553342912,0,-0.15227016383357278,0.005
73,0.0,0,0.0,0.0
74,-43.76322621337161,0,-0.6090806553342911,0.385
75,0.0,0,0.0,0.0
76,-15.690806553342885,0,-0.15227016383357278,0.215
77,0.0,0,0.0,0.0
78,0.0,0,0.0,0.0
79,-75.1727760066044,1,-0.8443194001651105,0.71
80,0.0,0,0.0,0.0
81,0.0,0,0.0,0.0
82,0.0,0,0.0,0.0
83,0.0,0,0.0,0.0
84,0.0,0,0.0,0.0
85,-8.090806553342912,0,-0.15227016383357278,0.025
86,-7.690806553342912,0,-0.15227016383357278,0.015
87,-11.4908065533429,0,-0.15227016383357278,0.11
88,-14.490806553342889,0,-0.15227016383357278,0.185
89,0.0,0,0.0,0.0
90,0.0,0,0.0,0.0
91,0.0,0,0.0,0.0
92,0.0,0,0.0,0.0
93,-29.381613106685776,0,-0.30454032766714556,0.38
94,-121.42450812860845,2,-1.8806127032152116,0.43
95,0.0,0,0.0,0.0
96,0.0,0,0.0,0.0
97,0.0,0,0.0,0.0
98,0.0,0,0.0,0.0
99,0.0,0,0.0,0.0
100,-10.290806553342904,0,-0.15227016383357278,0.08
101,-43.27241966002878,0,-0.45681049150071834,0.55
102,-34.96322621337164,0,-0.6090806553342911,0.165
103,-40.47241966002878,0,-0.45681049150071834,0.48
104,-39.872419660028754,0,-0.45681049150071834,0.465
105,0.0,0,0.0,0.0
106,0.0,0,0.0,0.0
107,-10.690806553342902,0,-0.15227016383357278,0.09
108,-15.890806553342884,0,-0.15227016383357278,0.22
109,-48.56322621337159,0,-0.6090806553342911,0.505
110,0.0,0,0.0,0.0
111,0.0,0,0.0,0.0
112,0.0,0,0.0,0.0
113,0.0,0,0.0,0.0
114,0.0,0,0.0,0.0
115,-33.67241966002872,0,-0.45681049150071834,0.31
116,0.0,0,0.0,0.0
117,0.0,0,0.0,0.0
118,-23.1816131066858,0,-0.30454032766714556,0.225
119,0.0,0,0.0,0.0
120,0.0,0,0.0,0.0
121,0.0,0,0.0,0.0
122,0.0,0,0.0,0.0
123,0.0,0,0.0,0.0
124,0.0,0,0.0,0.0
125,0.0,0,0.0,0.0
126,0.0,0,0.0,0.0
127,-52.85403276671455,0,-0.761350819167864,0.435
128,0.0,0,0.0,0.0
129,-19.581613106685815,0,-0.30454032766714556,0.135
130,-23.581613106685797,0,-0.30454032766714556,0.235
131,-14.690806553342888,0,-0.15227016383357278,0.19
132,0.0,0,0.0,0.0
133,-35.47241966002876,0,-0.45681049150071834,0.355
134,0.0,0,0.0,0.0
135,-32.872419660028754,0,-0.45681049150071834,0.29
136,-12.690806553342895,0,-0.15227016383357278,0.14
137,0.0,0,0.0,0.0
138,0.0,0,0.0,0.0
139,0.0,0,0.0,0.0
140,0.0,0,0.0,0.0
141,0.0,0,0.0,0.0
