Agente,Episodio,Recompensa,Tripwires,Flexibilidad,Robustez,Q-optimal,PGF_Bruto_Avg,PGF_Costo_Avg,RiskEffective_Avg,Surprise_Avg
control,1,-20.4,0.0,0.5,1.0,0.8,5.5,0.0,0.24916745291745293,0.0
control,2,-20.599999999999998,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.2359255096755097,0.0
control,3,-22.0,0.0,0.5,1.0,0.9,5.5,0.0,0.27289021164021166,0.0
control,4,-21.400000000000002,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.2607016594516594,0.0
control,5,-20.599999999999998,0.0,0.5,1.0,0.8,5.5,0.0,0.2281930106930107,0.0
control,6,-20.4,0.0,0.5,1.0,0.7666666666666667,5.5,0.0,0.24951016576016577,0.0
control,7,-21.8,0.0,0.5,1.0,0.7333333333333333,5.5,0.0,0.27088684463684465,0.0
control,8,-21.0,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.24281373718873717,0.0
control,9,-20.4,0.0,0.5,1.0,0.8,5.5,0.0,0.2523618973618974,0.0
control,10,-20.599999999999998,0.0,0.5,1.0,0.8,5.5,0.0,0.23847300847300848,0.0
control,11,-22.400000000000002,0.0,0.5,1.0,0.7666666666666667,5.5,0.0,0.277936507936508,0.0
control,12,-20.599999999999998,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.22608754671254674,0.0
control,13,-21.0,0.0,0.5,1.0,0.9666666666666667,5.5,0.0,0.2571788165538166,0.0
control,14,-20.6,0.0,0.5,1.0,0.8,5.5,0.0,0.258498260998261,0.0
control,15,-21.8,0.0,0.5,1.0,0.9,5.5,0.0,0.26922017797017794,0.0
control,16,-20.8,0.0,0.5,1.0,0.8,5.5,0.0,0.24640068265068266,0.0
control,17,-23.0,0.0,0.5,1.0,0.9,5.5,0.0,0.27499999999999997,0.0
control,18,-21.0,0.0,0.5,1.0,0.9333333333333333,5.5,0.0,0.22509548322048323,0.0
control,19,-21.0,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.2346093721093721,0.0
control,20,-20.61,0.0,0.5,0.9866666666666667,0.8666666666666667,5.49974621639361,0.0,0.24272256655381655,0.0
control,21,-21.0,0.0,0.5,1.0,0.9666666666666667,5.5,0.0,0.25030381655381656,0.0
control,22,-21.0,0.0,0.5,1.0,0.9333333333333333,5.5,0.0,0.2388454832204832,0.0
control,23,-21.6,0.0,0.5,1.0,0.8,5.5,0.0,0.2758868446368446,0.0
control,24,-24.0,0.0,0.5,1.0,0.9333333333333333,5.5,0.0,0.27166666666666667,0.0
control,25,-20.599999999999998,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.2525028906278906,0.0
control,26,-20.4,0.0,0.5,1.0,0.8,5.5,0.0,0.2440009065009065,0.0
control,27,-20.8,0.0,0.5,1.0,0.9,5.5,0.0,0.2323871498871499,0.0
control,28,-21.2,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.25833189958189956,0.0
control,29,-20.599999999999998,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.2360375272875273,0.0
control,30,-21.8,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.26672017797017794,0.0
control,31,-21.0,0.0,0.5,1.0,0.9,5.5,0.0,0.25393476893476896,0.0
control,32,-20.8,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.23773437210937212,0.0
control,33,-24.0,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.27166666666666667,0.0
control,34,-20.0,0.0,0.5,1.0,0.7,5.5,0.0,0.2489988714988715,0.0
control,35,-20.4,0.0,0.5,1.0,0.7666666666666667,5.5,0.0,0.2398276260776261,0.0
control,36,-20.4,0.0,0.5,1.0,0.8,5.5,0.0,0.22881692381692384,0.0
control,37,-20.599999999999998,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.24783586783586783,0.0
control,38,-24.0,0.0,0.5,1.0,0.9,5.5,0.0,0.27166666666666667,0.0
control,39,-20.8,0.0,0.5,1.0,0.8,5.5,0.0,0.23725818163318163,0.0
control,40,-21.2,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.26152074777074774,0.0
control,41,-20.599999999999998,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.2384288165538166,0.0
control,42,-21.0,0.0,0.5,1.0,0.8,5.5,0.0,0.25306896806896806,0.0
control,43,-20.41,0.0,0.5,0.9866666666666667,0.7666666666666667,5.49974621639361,0.0,0.23538184234746734,0.0
control,44,-20.8,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.2522681022681023,0.0
control,45,-20.8,0.0,0.5,1.0,0.9,5.5,0.0,0.23293999981499983,0.0
control,46,-20.4,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.24271682021682026,0.0
